ont_id,cola_tamano_total_bytes
0,6002.0
1,3322.0
2,2066.0
3,6814.0
4,900.0
5,2856.0
6,6194.0
7,1330.0
8,1976.0
9,5118.0
10,3666.0
11,1960.0
12,5378.0
13,1870.0
14,620.0
15,7264.0
media,3583.5
