ont,retardo_medio,intervalo_confianza_t_left,intervalo_confianza_t_right,intervalo_confianza_n_left,intervalo_confianza_n_right
0,1.1095202665712336,1.1070044508336954,1.1120360823087718,1.1070044748003087,1.1120360583421585
1,1.1230724083842951,1.1206906074074343,1.125454209361156,1.1206906288372607,1.1254541879313296
2,1.0281778479136954,1.0255140993749985,1.0308415964523923,1.0255141247179638,1.030841571109427
3,1.0767534943641526,1.0744053839785461,1.079101604749759,1.0744054043223459,1.0791015844059593
4,1.1112611223902493,1.1088575245566175,1.1136647202238812,1.1088575458331804,1.1136646989473182
5,1.073229000990594,1.0706620777960387,1.0757959241851494,1.0706621017735711,1.075795900207617
6,1.0620535150923005,1.0595352316648396,1.0645717985197614,1.0595352556583604,1.0645717745262406
7,1.106709291371178,1.1042823982398118,1.1091361845025443,1.1042824204499597,1.1091361622923963
8,1.097054786140116,1.0946212891889158,1.0994882830913164,1.0946213110650038,1.0994882612152284
9,1.0943999842275374,1.0919521011632816,1.0968478672917932,1.091952123330701,1.0968478451243737
10,1.0644047931404625,1.0619529265377479,1.0668566597431772,1.0619529476379026,1.0668566386430225
11,1.0937700956216652,1.0912645787188304,1.0962756125245,1.0912646028798039,1.0962755883635265
12,1.1162011316794656,1.1138648931133788,1.1185373702455523,1.1138649135919405,1.1185373497669906
13,1.1078772533500023,1.1054400216317106,1.110314485068294,1.1054400448947441,1.1103144618052605
14,1.056765584924766,1.0541868507034962,1.0593443191460357,1.0541868754075452,1.0593442944419866
15,1.0788381626421695,1.0763139655225336,1.0813623597618054,1.0763139884660056,1.0813623368183334
total,1.0877369249372766,1.087118535535144,1.0883553143394091,1.0871185358893733,1.0883553139851798
