ont_id,cola_tamano_total_bytes
0,9987318.0
1,9999794.0
2,9999634.0
3,9999726.0
4,9999976.0
5,9996416.0
6,9999012.0
7,9992058.0
8,9997472.0
9,9988994.0
10,9987998.0
11,9993788.0
12,9989560.0
13,9990714.0
14,9987584.0
15,9986856.0
media,9993556.25
