ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0005585838436081978,0.0005585837450255726,0.0005585839421908231
0,1,0.0007642499196639071,0.000764249789056705,0.0007642500502711093
0,2,0.004570576585974616,0.004570573944795296,0.004570579227153935
1,0,0.0005502115829797272,0.0005502114786871948,0.0005502116872722596
1,1,0.0007656631787306494,0.0007656630328426559,0.0007656633246186429
1,2,0.004946445687032565,0.0049464421413911944,0.004946449232673936
2,0,0.0006003877214447043,0.0006003876179977246,0.000600387824891684
2,1,0.0006571445207980119,0.0006571444180221864,0.0006571446235738374
2,2,0.005976772944525772,0.005976767853984665,0.0059767780350668785
3,0,0.0005618896370456069,0.0005618895368456636,0.0005618897372455502
3,1,0.0007641591795715815,0.0007641590288290051,0.0007641593303141579
3,2,0.004459361293555076,0.004459359034427212,0.00445936355268294
4,0,0.0005663406905293486,0.0005663405790633942,0.000566340801995303
4,1,0.0007430487001972129,0.0007430485443319781,0.0007430488560624477
4,2,0.00444651440676461,0.004446510730678475,0.004446518082850745
5,0,0.000551293020680819,0.0005512929169096516,0.0005512931244519865
5,1,0.0007381608827726533,0.000738160754953333,0.0007381610105919737
5,2,0.00555075220061723,0.005550747685226305,0.005550756716008155
6,0,0.000554451571639623,0.0005544514651818774,0.0005544516780973686
6,1,0.0007508621822109937,0.0007508620511410819,0.0007508623132809056
6,2,0.005100432652002134,0.005100429330979855,0.005100435973024413
7,0,0.0005817935552397385,0.0005817934464710764,0.0005817936640084005
7,1,0.0007663312508099671,0.0007663310969172809,0.0007663314047026532
7,2,0.005539327068488885,0.005539322951518308,0.005539331185459462
8,0,0.000569502588279747,0.0005695024975197657,0.0005695026790397284
8,1,0.0007396220211230398,0.0007396218887836598,0.0007396221534624199
8,2,0.006165665354475441,0.006165660912945379,0.006165669796005503
9,0,0.0005617173056763849,0.0005617171862784371,0.0005617174250743327
9,1,0.000689184597718305,0.000689184475318411,0.000689184720118199
9,2,0.004038561941861682,0.004038560428531552,0.0040385634551918115
10,0,0.0004946169144913685,0.0004946168371475146,0.0004946169918352224
10,1,0.0007922927543235824,0.0007922926052332627,0.0007922929034139022
10,2,0.004006000196036477,0.004005998963769583,0.004006001428303371
11,0,0.0005107637795423158,0.0005107636927870024,0.0005107638662976292
11,1,0.0007623037634411906,0.0007623036110668877,0.0007623039158154934
11,2,0.00466306585916241,0.0046630631722256455,0.004663068546099174
12,0,0.0005862390258039082,0.0005862389335630269,0.0005862391180447894
12,1,0.0007444115381247681,0.0007444114002448121,0.0007444116760047241
12,2,0.004598918118596655,0.004598915544291416,0.004598920692901893
13,0,0.0005644402045173287,0.0005644400961445824,0.000564440312890075
13,1,0.0007637442563561116,0.000763744127243483,0.0007637443854687402
13,2,0.00532913345659464,0.005329130218595789,0.005329136694593492
14,0,0.0005626026210143604,0.000562602517012196,0.0005626027250165248
14,1,0.0007808693533707205,0.0007808692102728957,0.0007808694964685453
14,2,0.004226080751609083,0.00422607907975599,0.004226082423462177
15,0,0.000574440900711316,0.0005744407791918366,0.0005744410222307955
15,1,0.0008076425169093839,0.0008076423742863416,0.0008076426595324262
15,2,0.005310156618321498,0.005310150571294792,0.005310162665348204
