ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.0002597556453744287,0.00025975561687923484,0.0002597556738696226
0,1,0.00040734898274872905,0.00040734891666102056,0.00040734904883643754
0,2,0.001254693243785747,0.00125469302149068,0.0012546934660808142
1,0,0.000263993687681433,0.00026399366712113374,0.0002639937082417322
1,1,0.0004287902260732548,0.0004287901625359153,0.0004287902896105943
1,2,0.001293233144297838,0.0012932329143508883,0.0012932333742447877
2,0,0.00025767556832943176,0.00025767554055204504,0.0002576755961068185
2,1,0.00040673889146892496,0.00040673883205738666,0.00040673895088046326
2,2,0.001241395350592974,0.001241395132652827,0.0012413955685331211
3,0,0.000253528250957044,0.0002535282218842406,0.00025352828002984734
3,1,0.0004040161865787808,0.0004040161468013976,0.000404016226356164
3,2,0.001252986118271561,0.0012529859102711914,0.0012529863262719305
4,0,0.00025237191821685155,0.00025237188677789085,0.00025237194965581225
4,1,0.00040109328392345874,0.00040109324119088735,0.0004010933266560301
4,2,0.0012893804032545067,0.0012893801860935008,0.0012893806204155127
5,0,0.00024993254910092626,0.0002499325201869184,0.0002499325780149341
5,1,0.0003775095406520578,0.00037750948850638383,0.00037750959279773174
5,2,0.0011662608225261797,0.001166260676395781,0.0011662609686565783
6,0,0.0002528659567411564,0.0002528659254282802,0.00025286598805403265
6,1,0.0003936262699061114,0.00039362620916984334,0.00039362633064237947
6,2,0.001190498746339178,0.001190498556666532,0.0011904989360118242
7,0,0.00025533787699149886,0.00025533784793157794,0.0002553379060514198
7,1,0.00040281786672226246,0.0004028178120696097,0.0004028179213749152
7,2,0.0012480940439589766,0.0012480938408992509,0.0012480942470187023
8,0,0.0002522049885388916,0.0002522049585992836,0.0002522050184784996
8,1,0.00038000625897245666,0.000380006200433663,0.0003800063175112503
8,2,0.0011211737961493832,0.0011211736496116954,0.001121173942687071
9,0,0.00025669455082418983,0.00025669452176578007,0.0002566945798825996
9,1,0.0004015878339755381,0.00040158777307962453,0.0004015878948714517
9,2,0.001232881811603687,0.0012328816119989703,0.0012328820112084036
10,0,0.00025567569558689214,0.00025567566645075815,0.00025567572472302613
10,1,0.0003975771919234361,0.00039757713343363256,0.00039757725041323966
10,2,0.0012139318843739954,0.0012139316888764358,0.001213932079871555
11,0,0.00025261338292731096,0.00025261335204659007,0.00025261341380803184
11,1,0.00039017350259745986,0.0003901734450387877,0.00039017356015613204
11,2,0.0011912926670321414,0.0011912924530374234,0.0011912928810268594
12,0,0.0002584046411799906,0.0002584046134669096,0.00025840466889307163
12,1,0.00039739802008723356,0.0003973979581645998,0.0003973980820098673
12,2,0.0012209285488328813,0.001220928377422753,0.0012209287202430096
13,0,0.0002500722935528513,0.0002500722640363791,0.0002500723230693235
13,1,0.00039606563069921445,0.00039606558644364676,0.00039606567495478214
13,2,0.0012189366101386446,0.0012189364158877735,0.0012189368043895156
14,0,0.0002582898579296344,0.00025828982921173593,0.0002582898866475328
14,1,0.00040855028362504173,0.0004085502255216962,0.00040855034172838727
14,2,0.0012729688139827442,0.0012729686099375893,0.0012729690180278991
15,0,0.0002493225655041497,0.00024932253159720686,0.00024932259941109255
15,1,0.0003733797186834428,0.0003733796662278788,0.0003733797711390068
15,2,0.0011864175802880764,0.0011864174510392129,0.00118641770953694
