ont_id,cola_tamano_total_bytes
0,4005350.0
1,2312750.0
2,21214.0
3,14422.0
4,5709782.0
5,21230.0
6,17552.0
7,6428276.0
8,9998196.0
9,19900.0
10,1728972.0
11,5396116.0
12,867400.0
13,10028.0
14,277862.0
15,21702.0
media,2303172.0
