ont,prioridad,retardo_medio,intervalo_confianza_left,intervalo_confianza_right
0,0,0.030405139954211062,0.030405130319860182,0.03040514958856194
1,0,0.016158779881241096,0.016158772927523622,0.01615878683495857
2,0,0.028029965372678094,0.02802995464231239,0.028029976103043797
3,0,0.04750587763209932,0.0475058598918266,0.047505895372372035
4,0,0.015888495627599402,0.015888490650284706,0.015888500604914098
5,0,0.005901301059324722,0.0059012996092089945,0.005901302509440449
6,0,0.042722511054898334,0.04272249870580116,0.04272252340399551
7,0,0.070424862132624,0.07042484544040507,0.07042487882484293
8,0,0.06347243487220434,0.06347241651255077,0.06347245323185792
9,0,0.06732498280610168,0.06732496268094958,0.06732500293125378
10,0,0.010410834922617336,0.010410831974446389,0.010410837870788283
11,0,0.02544490681653063,0.02544489887099778,0.02544491476206348
12,0,0.006473666497162416,0.0064736647525411,0.006473668241783731
13,0,0.005062355854829795,0.005062354594731654,0.005062357114927935
14,0,0.03500303597689128,0.0350030245778822,0.035003047375900355
15,0,0.02100676876519987,0.021006759175750473,0.02100677835464927
